Gene_ID,Structural_family,Confidence,Product,GC_content,Gene_length_bp,Start_pos,End_pos,Strand,Notes
1082,structural_cluster_1,0.524,hypothetical protein,0.5236,552,34572,35123,-,"tier=A, cluster_size=53"
1122,structural_cluster_1,0.546,hypothetical protein,0.5465,333,102904,103236,+,"tier=A, cluster_size=53"
1131,structural_cluster_1,0.551,hypothetical protein,0.5511,372,113160,113531,-,"tier=A, cluster_size=53"
1140,structural_cluster_1,0.539,hypothetical protein,0.5386,531,131036,131566,+,"tier=A, cluster_size=53"
1188,structural_cluster_1,0.532,hypothetical protein,0.5318,393,209222,209614,-,"tier=A, cluster_size=53"
1254,structural_cluster_1,0.545,hypothetical protein,0.5450,1044,320553,321596,+,"tier=A, cluster_size=53"
1325,structural_cluster_1,0.536,hypothetical protein,0.5360,375,464920,465294,-,"tier=A, cluster_size=53"
1328,structural_cluster_1,0.525,hypothetical protein,0.5246,852,468298,469149,+,"tier=A, cluster_size=53"
1329,structural_cluster_1,0.558,hypothetical protein,0.5585,684,469447,470130,+,"tier=A, cluster_size=53"
1338,structural_cluster_1,0.564,hypothetical protein,0.5638,447,494215,494661,+,"tier=A, cluster_size=53"
1356,structural_cluster_1,0.521,hypothetical protein,0.5206,315,527479,527793,-,"tier=A, cluster_size=53"
1394,structural_cluster_1,0.522,hypothetical protein,0.5220,387,594682,595068,-,"tier=A, cluster_size=53"
1407,structural_cluster_1,0.542,hypothetical protein,0.5425,153,614585,614737,-,"tier=A, cluster_size=53"
1448,structural_cluster_1,0.524,hypothetical protein,0.5245,387,694291,694677,+,"tier=A, cluster_size=53"
1478,structural_cluster_1,0.559,hypothetical protein,0.5590,288,748176,748463,+,"tier=A, cluster_size=53"
1520,structural_cluster_1,0.497,hypothetical protein,0.4970,330,823500,823829,-,"tier=A, cluster_size=53"
1551,structural_cluster_1,0.556,hypothetical protein,0.5556,243,876417,876659,-,"tier=A, cluster_size=53"
1635,structural_cluster_1,0.550,hypothetical protein,0.5505,327,1018138,1018464,+,"tier=A, cluster_size=53"
1726,structural_cluster_1,0.534,hypothetical protein,0.5342,234,1160705,1160938,+,"tier=A, cluster_size=53"
1773,structural_cluster_1,0.551,hypothetical protein,0.5514,321,1253057,1253377,-,"tier=A, cluster_size=53"
1800,structural_cluster_1,0.562,hypothetical protein,0.5616,276,1304665,1304940,+,"tier=A, cluster_size=53"
2002,structural_cluster_1,0.564,hypothetical protein,0.5637,408,1655327,1655734,+,"tier=A, cluster_size=53"
2278,structural_cluster_1,0.543,hypothetical protein,0.5433,543,2125529,2126071,+,"tier=A, cluster_size=53"
2281,structural_cluster_1,0.541,hypothetical protein,0.5407,246,2130320,2130565,+,"tier=A, cluster_size=53"
2334,structural_cluster_1,0.557,hypothetical protein,0.5570,237,2216131,2216367,+,"tier=A, cluster_size=53"
2341,structural_cluster_1,0.592,hypothetical protein,0.5915,306,2229638,2229943,+,"tier=C, cluster_size=53"
2362,structural_cluster_1,0.548,hypothetical protein,0.5478,345,2266329,2266673,+,"tier=A, cluster_size=53"
2365,structural_cluster_1,0.530,hypothetical protein,0.5302,315,2270179,2270493,+,"tier=A, cluster_size=53"
2373,structural_cluster_1,0.524,hypothetical protein,0.5245,204,2281789,2281992,-,"tier=A, cluster_size=53"
2401,structural_cluster_1,0.604,hypothetical protein,0.6044,225,2325113,2325337,+,"tier=C, cluster_size=53"
2425,structural_cluster_1,0.546,hypothetical protein,0.5464,366,2363321,2363686,+,"tier=A, cluster_size=53"
2465,structural_cluster_1,0.533,hypothetical protein,0.5330,651,2436910,2437560,-,"tier=A, cluster_size=53"
2470,structural_cluster_1,0.565,hypothetical protein,0.5651,384,2442902,2443285,+,"tier=A, cluster_size=53"
2473,structural_cluster_1,0.545,hypothetical protein,0.5446,336,2445291,2445626,+,"tier=A, cluster_size=53"
2475,structural_cluster_1,0.519,hypothetical protein,0.5190,237,2447673,2447909,-,"tier=A, cluster_size=53"
2477,structural_cluster_1,0.488,hypothetical protein,0.4883,213,2449201,2449413,-,"tier=A, cluster_size=53"
2478,structural_cluster_1,0.543,hypothetical protein,0.5427,960,2449497,2450456,-,"tier=A, cluster_size=53"
2479,structural_cluster_1,0.544,hypothetical protein,0.5440,579,2451085,2451663,-,"tier=A, cluster_size=53"
2481,structural_cluster_1,0.536,hypothetical protein,0.5365,192,2453815,2454006,-,"tier=A, cluster_size=53"
2483,structural_cluster_1,0.514,hypothetical protein,0.5142,387,2455673,2456059,-,"tier=A, cluster_size=53"
2492,structural_cluster_1,0.567,hypothetical protein,0.5669,381,2469070,2469450,+,"tier=A, cluster_size=53"
1173,structural_cluster_10,0.606,hypothetical protein,0.6056,715,186765,187479,-,"tier=C, cluster_size=5"
1516,structural_cluster_10,0.566,hypothetical protein,0.5657,198,817589,817786,-,"tier=A, cluster_size=5"
1945,structural_cluster_10,0.678,hypothetical protein,0.6782,348,1545443,1545790,+,"tier=C, cluster_size=5"
2121,structural_cluster_10,0.581,hypothetical protein,0.5809,303,1857627,1857929,+,"tier=C, cluster_size=5"
2487,structural_cluster_10,0.458,hypothetical protein,0.4583,168,2459134,2459301,+,"tier=A, cluster_size=5"
1186,structural_cluster_11,0.673,hypothetical protein,0.6728,651,206557,207207,+,"tier=C, cluster_size=10"
1211,structural_cluster_11,0.727,hypothetical protein,0.7268,981,245592,246572,+,"tier=C, cluster_size=10"
1284,structural_cluster_11,0.693,hypothetical protein,0.6933,1653,380606,382258,-,"tier=C, cluster_size=10"
1314,structural_cluster_11,0.673,hypothetical protein,0.6734,1044,441428,442471,+,"tier=C, cluster_size=10"
1317,structural_cluster_11,0.630,hypothetical protein,0.6300,600,447603,448202,-,"tier=C, cluster_size=10"
1384,structural_cluster_11,0.682,hypothetical protein,0.6818,2445,578439,580883,+,"tier=C, cluster_size=10"
1415,structural_cluster_11,0.678,hypothetical protein,0.6778,717,628822,629538,-,"tier=C, cluster_size=10"
1477,structural_cluster_11,0.728,hypothetical protein,0.7278,900,746560,747459,-,"tier=C, cluster_size=10"
1482,structural_cluster_11,0.703,hypothetical protein,0.7030,2172,753904,756075,+,"tier=C, cluster_size=10"
1570,structural_cluster_11,0.682,hypothetical protein,0.6823,702,910229,910930,+,"tier=C, cluster_size=10"
1081,structural_cluster_12,0.614,hypothetical protein,0.6140,987,33485,34471,-,"tier=C, cluster_size=24"
1129,structural_cluster_12,0.548,hypothetical protein,0.5482,228,111192,111419,+,"tier=A, cluster_size=24"
1171,structural_cluster_12,0.671,hypothetical protein,0.6706,1524,182489,184012,+,"tier=C, cluster_size=24"
1200,structural_cluster_12,0.704,hypothetical protein,0.7037,486,226134,226619,-,"tier=C, cluster_size=24"
1210,structural_cluster_12,0.688,hypothetical protein,0.6884,1335,243754,245088,+,"tier=C, cluster_size=24"
1216,structural_cluster_12,0.608,hypothetical protein,0.6077,915,256613,257527,-,"tier=C, cluster_size=24"
1220,structural_cluster_12,0.645,hypothetical protein,0.6452,699,263923,264621,+,"tier=C, cluster_size=24"
1367,structural_cluster_12,0.691,hypothetical protein,0.6912,651,545339,545989,+,"tier=C, cluster_size=24"
1408,structural_cluster_12,0.700,hypothetical protein,0.7002,3462,615056,618517,-,"tier=C, cluster_size=24"
1463,structural_cluster_12,0.701,hypothetical protein,0.7014,1209,722030,723238,+,"tier=C, cluster_size=24"
1507,structural_cluster_12,0.672,hypothetical protein,0.6723,1584,803347,804930,+,"tier=C, cluster_size=24"
1544,structural_cluster_12,0.731,hypothetical protein,0.7313,3048,863336,866383,-,"tier=B, cluster_size=24"
1675,structural_cluster_12,0.650,hypothetical protein,0.6501,1389,1076826,1078214,-,"tier=C, cluster_size=24"
1737,structural_cluster_12,0.718,hypothetical protein,0.7179,507,1184184,1184690,+,"tier=C, cluster_size=24"
1793,structural_cluster_12,0.621,hypothetical protein,0.6206,1497,1293151,1294647,+,"tier=C, cluster_size=24"
1891,structural_cluster_12,0.612,hypothetical protein,0.6118,1149,1447224,1448372,-,"tier=C, cluster_size=24"
1949,structural_cluster_12,0.701,hypothetical protein,0.7010,612,1557848,1558459,+,"tier=C, cluster_size=24"
2095,structural_cluster_12,0.591,hypothetical protein,0.5913,504,1815330,1815833,-,"tier=C, cluster_size=24"
2145,structural_cluster_12,0.677,hypothetical protein,0.6771,1344,1896578,1897921,+,"tier=C, cluster_size=24"
2244,structural_cluster_12,0.626,hypothetical protein,0.6262,915,2065533,2066447,+,"tier=C, cluster_size=24"
